platform,config,device_name,readme_name,display_name,release_slug,aliases,machid,tested,dts,notes
IPQ6018,ipq6018_jdcloud_ax6600,JDCloud AX6600,JDCloud AX6600,JDCloud AX6600,JDCloud-AX6600,,0x8030202,yes,arch/arm/dts/ipq6018-jdcloud-ax6600.dts,
IPQ6018,ipq6018_jdcloud_er1,JDCloud ER1,JDCloud ER1,JDCloud ER1,JDCloud-ER1,,0x8030203,yes,arch/arm/dts/ipq6018-jdcloud-er1.dts,
IPQ6018,ipq6018_m2,ZN M2 / CMIOT AX18,ZN M2 / CMIOT AX18,ZN M2 / CMIOT AX18,ZN-M2,ZN M2,0x8030200,yes,arch/arm/dts/ipq6018-m2.dts,
IPQ6018,ipq6018_nn6000,Link NN6000,Link NN6000,Link NN6000,Link-NN6000,,0x8030200,yes,arch/arm/dts/ipq6018-nn6000.dts,
IPQ6018,ipq6018_xiaomi_ax1800,Xiaomi AX1800,Xiaomi AX1800,Xiaomi AX1800,Xiaomi-AX1800,,0x8030200,yes,arch/arm/dts/ipq6018-xiaomi-ax1800.dts,
IPQ6018,ipq6018_tiny,QCA Tiny Common,QCA Tiny Common,QCA Tiny Common,QCA-Tiny,,,yes,,generic tiny build
IPQ6018,ipq6018,QCA Common,QCA Common,QCA Common,QCA-Common,,,yes,,generic base build
IPQ6018,ipq6018_zxelink_w212x,ZXeLink ZXWL W212X,ZXeLink ZXWL W212X,ZXeLink ZXWL W212X,ZXeLink-ZXWL-W212X,ZXeLink W212X,0x8030200,yes,arch/arm/dts/ipq6018-zxelink-w212x.dts,
IPQ806x,ipq806x_standard,QCA Standard Common,QCA Standard Common,QCA Standard Common,QCA-Standard,,,unknown,,generic standard build
IPQ806x,ipq806x,QCA Common,QCA Common,QCA Common,QCA-Common,,,unknown,,generic base build
IPQ807x,ipq807x_aliyun_ap8220,Aliyun AP8220,Aliyun AP8220,Aliyun AP8220,Aliyun-AP8220,,0x0801000A,yes,arch/arm/dts/ipq807x-aliyun-ap8220.dts,
IPQ807x,ipq807x_redmi_ax6,Redmi AX6 / Xiaomi AX3600,Redmi AX6 / Xiaomi AX3600,Redmi AX6 / Xiaomi AX3600,Redmi-AX6,,0x08010010,yes,arch/arm/dts/ipq807x-redmi-ax6.dts,
IPQ807x,ipq807x_tiny,QCA Tiny Common,QCA Tiny Common,QCA Tiny Common,QCA-Tiny,,,yes,,generic tiny build
IPQ807x,ipq807x_xglink_5gcpe,XGlink 5GCPE,XGlink 5GCPE,XGlink 5GCPE,XGlink-5GCPE,,0x08010008,yes,arch/arm/dts/ipq807x-xglink-5gcpe.dts,
IPQ807x,ipq807x,QCA Common,QCA Common,QCA Common,QCA-Common,,,yes,,generic base build
IPQ9574,ipq9574,QCA Common,QCA Common,QCA Common,QCA-Common,,,unknown,,generic base build
